hidden_size,activation,optimizer,batch_size,regularization,epochs,learning_rate,loss,best_f1
4,relu,adam,8,0.01,30,0.01,mse,89.65517241379311
4,relu,adam,8,0.01,30,0.01,hinge,68.57142857142857
4,relu,adam,8,0.01,30,0.01,log,
4,relu,adam,8,0.01,30,0.01,focal,
4,relu,adam,8,0.01,30,0.1,mse,76.47058823529412
4,relu,adam,8,0.01,30,0.1,hinge,0.0
4,relu,adam,8,0.01,30,0.1,log,
4,relu,adam,8,0.01,30,0.1,focal,
4,relu,adam,8,0.01,50,0.001,mse,72.22222222222221
4,relu,adam,8,0.01,50,0.001,hinge,81.25
4,relu,adam,8,0.01,50,0.001,log,
4,relu,adam,8,0.01,50,0.001,focal,
4,relu,adam,8,0.01,50,0.01,mse,88.0
4,relu,adam,8,0.01,50,0.01,hinge,0.0
4,relu,adam,8,0.01,50,0.01,log,
4,relu,adam,8,0.01,50,0.01,focal,
4,relu,adam,8,0.01,50,0.1,mse,84.61538461538461
4,relu,adam,8,0.01,50,0.1,hinge,0.0
4,relu,adam,8,0.01,50,0.1,log,
4,relu,adam,8,0.01,50,0.1,focal,
4,relu,adam,8,0.01,80,0.001,mse,89.65517241379311
4,relu,adam,8,0.01,80,0.001,hinge,70.0
4,relu,adam,8,0.01,80,0.001,log,
4,relu,adam,8,0.01,80,0.001,focal,
4,relu,adam,8,0.01,80,0.01,mse,89.65517241379311
4,relu,adam,8,0.01,80,0.01,hinge,72.22222222222221
4,relu,adam,8,0.01,80,0.01,log,
4,relu,adam,8,0.01,80,0.01,focal,
4,relu,adam,8,0.01,80,0.1,mse,81.81818181818183
4,relu,adam,8,0.01,80,0.1,hinge,0.0
4,relu,adam,8,0.01,80,0.1,log,
4,relu,adam,8,0.01,80,0.1,focal,
4,relu,adam,8,0.01,100,0.001,mse,85.71428571428571
4,relu,adam,8,0.01,100,0.001,hinge,0.0
4,relu,adam,8,0.01,100,0.001,log,
4,relu,adam,8,0.01,100,0.001,focal,
4,relu,adam,8,0.01,100,0.01,mse,92.3076923076923
4,relu,adam,8,0.01,100,0.01,hinge,0.0
4,relu,adam,8,0.01,100,0.01,log,
4,relu,adam,8,0.01,100,0.01,focal,
4,relu,adam,8,0.01,100,0.1,mse,77.41935483870968
4,relu,adam,8,0.01,100,0.1,hinge,14.285714285714285
4,relu,adam,8,0.01,100,0.1,log,
4,relu,adam,8,0.01,100,0.1,focal,
4,relu,adam,16,0.0001,5,0.001,mse,0.0
4,relu,adam,16,0.0001,5,0.001,hinge,75.0
4,relu,adam,16,0.0001,5,0.001,log,72.22222222222221
4,relu,adam,16,0.0001,5,0.001,focal,22.22222222222222
4,relu,adam,16,0.0001,5,0.01,mse,72.22222222222221
4,relu,adam,16,0.0001,5,0.01,hinge,0.0
